CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
DDE_0029,0.344262295081967,0.4,0.255737704918033,0.40655737704918,0.386885245901639,0.20655737704918,0.265573770491803,0.370491803278689,0.363934426229508,0.350819672131148,0.442622950819672,0.20655737704918,0.127868852459016,0.737704918032787,0.134426229508197,0.586885245901639,0.173770491803279,0.239344262295082,0.422950819672131,0.344262295081967,0.232786885245902
DDE_0030,0.343065693430657,0.343065693430657,0.313868613138686,0.37956204379562,0.335766423357664,0.284671532846715,0.343065693430657,0.27007299270073,0.386861313868613,0.277372262773723,0.437956204379562,0.284671532846715,0.116788321167883,0.737226277372263,0.145985401459854,0.45985401459854,0.299270072992701,0.240875912408759,0.430656934306569,0.343065693430657,0.226277372262774
DDE_0031,0.312741312741313,0.335907335907336,0.351351351351351,0.351351351351351,0.436293436293436,0.212355212355212,0.38996138996139,0.285714285714286,0.324324324324324,0.281853281853282,0.505791505791506,0.212355212355212,0.115830115830116,0.764478764478765,0.11969111969112,0.478764478764479,0.277992277992278,0.243243243243243,0.463320463320463,0.312741312741313,0.223938223938224
DDE_0033,0.286567164179104,0.408955223880597,0.304477611940298,0.394029850746269,0.337313432835821,0.26865671641791,0.355223880597015,0.325373134328358,0.319402985074627,0.328358208955224,0.402985074626866,0.26865671641791,0.0925373134328358,0.797014925373134,0.11044776119403,0.394029850746269,0.304477611940298,0.301492537313433,0.432835820895522,0.286567164179104,0.280597014925373
DDE_0036,0.329268292682927,0.300813008130081,0.369918699186992,0.329268292682927,0.463414634146341,0.207317073170732,0.390243902439024,0.276422764227642,0.333333333333333,0.280487804878049,0.51219512195122,0.207317073170732,0.113821138211382,0.752032520325203,0.134146341463415,0.5,0.296747967479675,0.203252032520325,0.479674796747967,0.329268292682927,0.191056910569106
DDE_0037,0.194690265486726,0.444690265486726,0.360619469026549,0.451327433628319,0.358407079646018,0.190265486725664,0.373893805309735,0.411504424778761,0.214601769911504,0.396017699115044,0.413716814159292,0.190265486725664,0.0707964601769911,0.856194690265487,0.0730088495575221,0.455752212389381,0.274336283185841,0.269911504424779,0.550884955752212,0.194690265486726,0.254424778761062
DDE_0038,0.258389261744966,0.493288590604027,0.248322147651007,0.493288590604027,0.291946308724832,0.214765100671141,0.268456375838926,0.449664429530201,0.281879194630872,0.36241610738255,0.422818791946309,0.214765100671141,0.0973154362416107,0.825503355704698,0.0771812080536913,0.479865771812081,0.221476510067114,0.298657718120805,0.456375838926175,0.258389261744966,0.285234899328859
DDE_0039,0.252450980392157,0.436274509803922,0.311274509803922,0.480392156862745,0.28921568627451,0.230392156862745,0.325980392156863,0.401960784313726,0.272058823529412,0.399509803921569,0.370098039215686,0.230392156862745,0.0882352941176471,0.818627450980392,0.0931372549019608,0.438725490196078,0.286764705882353,0.274509803921569,0.495098039215686,0.252450980392157,0.252450980392157
DDE_0040,0.27710843373494,0.379518072289157,0.343373493975904,0.44578313253012,0.343373493975904,0.210843373493976,0.355421686746988,0.367469879518072,0.27710843373494,0.385542168674699,0.403614457831325,0.210843373493976,0.102409638554217,0.783132530120482,0.114457831325301,0.36144578313253,0.313253012048193,0.325301204819277,0.463855421686747,0.27710843373494,0.259036144578313
DDE_0042,0.276315789473684,0.447368421052632,0.276315789473684,0.444736842105263,0.294736842105263,0.260526315789474,0.310526315789474,0.376315789473684,0.313157894736842,0.376315789473684,0.363157894736842,0.260526315789474,0.105263157894737,0.778947368421053,0.115789473684211,0.452631578947368,0.268421052631579,0.278947368421053,0.436842105263158,0.276315789473684,0.286842105263158
