AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
DDE_0077,0.150851581508516,0.072992700729927,0.0194647201946472,0.0462287104622871,0.0072992700729927,0.0364963503649635,0.0121654501216545,0.0924574209245742,0.0097323600973236,0.0145985401459854,0.148418491484185,0.0340632603406326,0.0267639902676399,0.0535279805352798,0.0389294403892944,0.0437956204379562,0.0413625304136253,0.0170316301703163,0.024330900243309,0.109489051094891
DDE_0079,0.120418848167539,0.06282722513089,0.031413612565445,0.049738219895288,0.0130890052356021,0.0732984293193717,0.0261780104712042,0.104712041884817,0.0235602094240838,0.0445026178010471,0.104712041884817,0.0366492146596859,0.0392670157068063,0.031413612565445,0.0445026178010471,0.0471204188481675,0.0445026178010471,0.00261780104712042,0.0392670157068063,0.0602094240837696
DDE_0081,0.0736342042755344,0.0356294536817102,0.0166270783847981,0.0570071258907363,0.0403800475059382,0.0665083135391924,0.0237529691211401,0.0997624703087886,0.0190023752969121,0.0617577197149644,0.0522565320665083,0.0688836104513064,0.0451306413301663,0.0403800475059382,0.0593824228028504,0.0546318289786223,0.0641330166270784,0.0166270783847981,0.0332541567695962,0.0712589073634204
DDE_0082,0.121951219512195,0.0650406504065041,0.032520325203252,0.040650406504065,0.016260162601626,0.0487804878048781,0.0650406504065041,0.0650406504065041,0.040650406504065,0.0569105691056911,0.0487804878048781,0.0731707317073171,0.040650406504065,0.0487804878048781,0.040650406504065,0.040650406504065,0.040650406504065,0.016260162601626,0.0487804878048781,0.0487804878048781
DDE_0084,0.142857142857143,0.0909090909090909,0.012987012987013,0.051948051948052,0.0324675324675325,0.0649350649350649,0.025974025974026,0.0909090909090909,0.0324675324675325,0.038961038961039,0.123376623376623,0.025974025974026,0.0194805194805195,0.0194805194805195,0.0779220779220779,0.025974025974026,0.025974025974026,0.012987012987013,0.00649350649350649,0.0779220779220779
DDE_0085,0.134770889487871,0.0619946091644205,0.0188679245283019,0.0107816711590297,0.0161725067385445,0.0161725067385445,0.0269541778975741,0.0700808625336927,0.0350404312668464,0.0377358490566038,0.172506738544474,0.0188679245283019,0.0242587601078167,0.0485175202156334,0.078167115902965,0.0485175202156334,0.0485175202156334,0.0107816711590297,0.045822102425876,0.0754716981132075
DDE_0086,0.100917431192661,0.0504587155963303,0.0275229357798165,0.0596330275229358,0.0137614678899083,0.0871559633027523,0.0458715596330275,0.055045871559633,0.0412844036697248,0.0504587155963303,0.073394495412844,0.0596330275229358,0.018348623853211,0.0504587155963303,0.036697247706422,0.055045871559633,0.0779816513761468,0.0137614678899083,0.0229357798165138,0.0596330275229358
DDE_0087,0.146179401993355,0.0863787375415282,0.0132890365448505,0.0465116279069767,0.0199335548172757,0.0564784053156146,0.0365448504983389,0.0697674418604651,0.0299003322259136,0.0431893687707641,0.142857142857143,0.00996677740863787,0.0232558139534884,0.0398671096345515,0.0564784053156146,0.0431893687707641,0.0631229235880399,0.00664451827242525,0.0132890365448505,0.053156146179402
DDE_0088,0.129411764705882,0.0588235294117647,0.0352941176470588,0.0529411764705882,0.0176470588235294,0.0294117647058824,0.0352941176470588,0.1,0.0117647058823529,0.0529411764705882,0.0529411764705882,0.0176470588235294,0.0352941176470588,0.0470588235294118,0.0352941176470588,0.0588235294117647,0.0764705882352941,0.0176470588235294,0.0235294117647059,0.111764705882353
DDE_0089,0.142857142857143,0.0733590733590734,0.0154440154440154,0.0579150579150579,0.0231660231660232,0.0424710424710425,0.0463320463320463,0.0849420849420849,0.0154440154440154,0.0579150579150579,0.0926640926640927,0.0231660231660232,0.0424710424710425,0.0308880308880309,0.0463320463320463,0.0386100386100386,0.0772200772200772,0.00386100386100386,0.0115830115830116,0.0733590733590734
DDE_0090,0.107981220657277,0.0539906103286385,0.0258215962441315,0.0563380281690141,0.028169014084507,0.0845070422535211,0.0422535211267606,0.0633802816901408,0.0211267605633803,0.0539906103286385,0.0938967136150235,0.0539906103286385,0.0352112676056338,0.0352112676056338,0.0446009389671361,0.0469483568075117,0.0539906103286385,0.00469483568075117,0.028169014084507,0.0657276995305164
DDE_0092,0.161739130434783,0.0678260869565217,0.0191304347826087,0.0504347826086957,0.0191304347826087,0.0521739130434783,0.0330434782608696,0.109565217391304,0.0208695652173913,0.0243478260869565,0.0991304347826087,0.0104347826086957,0.031304347826087,0.0260869565217391,0.0434782608695652,0.0417391304347826,0.0608695652173913,0.00521739130434783,0.0173913043478261,0.106086956521739
DDE_0093,0.105263157894737,0.105263157894737,0.0175438596491228,0.043859649122807,0.0087719298245614,0.131578947368421,0.0263157894736842,0.0614035087719298,0.0175438596491228,0.0175438596491228,0.0614035087719298,0.0175438596491228,0.0175438596491228,0.0614035087719298,0.0526315789473684,0.0263157894736842,0.0526315789473684,0.0263157894736842,0.0526315789473684,0.0964912280701754
DDE_0095,0.138461538461538,0.0769230769230769,0.0307692307692308,0.0461538461538462,0.0153846153846154,0.0461538461538462,0.041025641025641,0.107692307692308,0.0461538461538462,0.0102564102564103,0.128205128205128,0.0153846153846154,0.0153846153846154,0.0358974358974359,0.0358974358974359,0.0256410256410256,0.0717948717948718,0.0153846153846154,0.0205128205128205,0.0769230769230769
DDE_0096,0.075,0.0875,0.025,0.1375,0.025,0.075,0.025,0.025,0.025,0.1,0.075,0.075,0.025,0.05,0.05,0.025,0.025,0.0125,0.0125,0.05
DDE_0097,0.129682997118156,0.0634005763688761,0.0144092219020173,0.0345821325648415,0.0201729106628242,0.0518731988472622,0.0432276657060519,0.069164265129683,0.0345821325648415,0.037463976945245,0.115273775216138,0.0288184438040346,0.0489913544668588,0.0576368876080692,0.0201729106628242,0.0432276657060519,0.0518731988472622,0.0115273775216138,0.0461095100864553,0.0778097982708934
DDE_0098,0.1,0.0785714285714286,0.0357142857142857,0.05,0.0214285714285714,0.0785714285714286,0.0214285714285714,0.0571428571428571,0.0214285714285714,0.0642857142857143,0.142857142857143,0.0428571428571429,0.0142857142857143,0.0142857142857143,0.0428571428571429,0.0714285714285714,0.0285714285714286,0,0.0142857142857143,0.1
DDE_0099,0.0997830802603037,0.06941431670282,0.0260303687635575,0.0629067245119306,0.0151843817787419,0.0889370932754881,0.0238611713665944,0.0737527114967462,0.0260303687635575,0.0433839479392625,0.0867678958785249,0.0498915401301518,0.0281995661605206,0.0607375271149675,0.0455531453362256,0.0455531453362256,0.0542299349240781,0.0130151843817787,0.0281995661605206,0.0585683297180043
